Respondent ID,Collector ID,Which country perspective will you share in this survey?,State/Province,"Please confirm your region, based on the Council’s regional classification.",Which sector do you represent?,What is your primary energy focus?,What is the stage of your organisation?,What is your current role within the organization?,What is your gender?,What is your age group?,Are you a part of the Council’s Global or National Future Energy Leaders programme?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,Company
1.15023E+11,438219429,Colombia,,Latin America and the Caribbean,"Energy-Adjacent / Related Sector (technology, finance, transport, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Start-up or Scale-up,Top-Level,Male,50-65,,High,High,Medium,High,Low,Medium,Medium,High,Medium,Medium,Medium,High,High,High,Medium,High,Very High,Medium,Low,Medium,Low,Medium,High,High,Medium,Low,Medium,Medium,High,Very High,High,High,Medium,High,High,Medium,High,Medium,Very High,Medium,High,Medium,Medium,Medium,Very High,Very High,CONNECTEP SAS
1.15023E+11,438123497,Indonesia,,Asia,"Consumer / End-User Sector (commercial, industrial, residential, etc.)",,Established Organisation (more than 10 years existence),Mid-Level,Female,<35,No,Low,Medium,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,High,Low,High,High,Medium,YLKI
1.15023E+11,438158842,India,Delhi,Asia,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Top-Level,Male,50-65,,High,High,High,High,High,High,High,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,High,High,Very High,High,High,High,Medium,Medium,Very High,High,High,High,High,Medium,High,High,High,Very High,Medium,Medium,Medium,High,Medium,Medium,Very High,Very High,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Hybrid or Transition Technologies (CCUS, bioenergy, hydrogen etc.)",Established Organisation (more than 10 years existence),Mid-Level,Female,35-50,,High,High,High,High,Very High,Very High,High,Medium,Medium,Medium,High,High,Medium,Medium,Very High,Very High,Medium,Medium,Medium,Medium,High,High,High,High,Medium,Medium,Very High,Very High,High,High,Very High,Very High,Very High,Very High,Very High,Very High,High,Medium,High,Low,Very High,Very High,Very High,Very High,Medium,Medium,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Mid-Level,Male,35-50,,High,Low,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Low,Medium,Medium,Medium,Low,Low,Medium,Low,High,High,High,High,High,Low,Medium,Medium,Low,High,High,High,Very High,Low,Very High,Low,High,Medium,Medium,Low,High,Low,High,Medium,Medium,KBR
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Top-Level,Male,<35,No,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Low,Medium,High,Medium,Very High,High,High,High,High,High,Medium,High,Medium,Medium,High,Low,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Very High,Medium,Very High,High,High,Medium,High,High,
1.15017E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Institutions (universities, think tanks, research, associations, NGOs etc.)",,,Top-Level,Male,50-65,,High,Very High,High,Very High,High,Very High,Low,Very Low,High,Very Low,Low,Low,Very High,Very High,Medium,High,Low,Low,Low,Very Low,Low,Medium,High,High,Low,Medium,Medium,High,Low,Low,Low,Low,Medium,Medium,High,Very High,Very High,High,High,Medium,High,High,Medium,Medium,Medium,Medium,American University of Sharjah
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Other,Male,65+,,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,High,High,Medium,Low,Medium,Medium,Medium,Medium,High,High,High,High,High,Medium,High,Medium,High,Medium,High,Medium,High,Medium,Ministry of Energy & Infrastructure
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Senior-Level,Female,<35,No,Very High,High,Very High,Medium,High,Medium,High,Low,Very High,Medium,Medium,Low,Very High,Medium,Medium,Medium,Medium,Low,High,Low,High,Medium,Very High,Medium,Very High,Medium,Very High,Low,Very High,Low,High,Low,High,Medium,High,Medium,Very High,Low,Very High,Medium,High,Medium,Medium,Medium,Very High,Low,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Hybrid or Transition Technologies (CCUS, bioenergy, hydrogen etc.)",Established Organisation (more than 10 years existence),Senior-Level,Male,50-65,,High,Medium,High,High,High,High,Medium,Medium,Medium,Medium,High,High,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,High,Very High,Very High,High,High,Very High,Very High,Medium,Medium,Low,Low,Medium,Medium,Very High,Very High,High,High,High,High,High,High,High,Very High,Masdar
